Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,14
design__inferred_latch__count,0
design__instance__count,786
design__instance__area,5342.62
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0001507929409854114
power__switching__total,0.000047507208364550024
power__leakage__total,7.010828806386371E-9
power__total,0.0001983071560971439
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.25303052036487705
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.25310451673156104
timing__hold__ws__corner:nom_tt_025C_1v80,0.32857267836538306
timing__setup__ws__corner:nom_tt_025C_1v80,6.8381826581160245
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.328573
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,17.675278
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,3
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2551982308817647
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2552710615142399
timing__hold__ws__corner:nom_ss_100C_1v60,0.9054335870674113
timing__setup__ws__corner:nom_ss_100C_1v60,-1.128190905963108
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-4.580643549676209
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-1.128190905963108
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.905434
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,6
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,15.592573
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2522712665724383
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.25234415271606636
timing__hold__ws__corner:nom_ff_n40C_1v95,0.12185802711808633
timing__setup__ws__corner:nom_ff_n40C_1v95,10.237071924357394
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.121858
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,18.387617
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,10
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2519376167885266
clock__skew__worst_setup,0.2519376167885266
timing__hold__ws,0.11771850494254651
timing__setup__ws,-1.2600658650930217
timing__hold__tns,0.0
timing__setup__tns,-5.360156914485846
timing__hold__wns,0
timing__setup__wns,-1.2600658650930217
timing__hold_vio__count,0
timing__hold_r2r__ws,0.117719
timing__hold_r2r_vio__count,0
timing__setup_vio__count,18
timing__setup_r2r__ws,15.568656
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,786
design__instance__area__stdcell,5342.62
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.323927
design__instance__utilization__stdcell,0.323927
design__instance__count__class:buffer,3
design__instance__count__class:inverter,27
design__instance__count__class:sequential_cell,32
design__instance__count__class:multi_input_combinational_cell,429
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,1296
design__instance__count__class:tap_cell,225
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,10786.7
design__violations,0
design__instance__count__class:timing_repair_buffer,62
design__instance__count__class:clock_buffer,5
design__instance__count__class:clock_inverter,3
design__instance__count__setup_buffer,18
design__instance__count__hold_buffer,15
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,577
route__net__special,2
route__drc_errors__iter:1,257
route__wirelength__iter:1,12291
route__drc_errors__iter:2,117
route__wirelength__iter:2,12027
route__drc_errors__iter:3,153
route__wirelength__iter:3,12054
route__drc_errors__iter:4,0
route__wirelength__iter:4,12033
route__drc_errors,0
route__wirelength,12033
route__vias,4064
route__vias__singlecut,4064
route__vias__multicut,0
design__disconnected_pin__count,17
design__critical_disconnected_pin__count,0
route__wirelength__max,153.265
timing__unannotated_net__count__corner:nom_tt_025C_1v80,36
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,36
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,36
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,1
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.25259944850779914
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.25259814399570835
timing__hold__ws__corner:min_tt_025C_1v80,0.32400155697681376
timing__setup__ws__corner:min_tt_025C_1v80,6.921485802634093
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.324002
