Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,47
design__inferred_latch__count,0
design__instance__count,2448
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,22
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00016381412569899112
power__switching__total,0.00005858194344909862
power__leakage__total,1.745874733671826E-8
power__total,0.0002224135387223214
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.26944633398240675
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.26656391737320334
timing__hold__ws__corner:nom_tt_025C_1v80,0.23777608333067804
timing__setup__ws__corner:nom_tt_025C_1v80,28.65094198540523
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.237776
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,30.384283
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,350
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2806506495526523
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.27721567492846555
timing__hold__ws__corner:nom_ss_100C_1v60,0.7030609626810732
timing__setup__ws__corner:nom_ss_100C_1v60,21.261540685400643
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.703061
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,21.261541
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.26557473638586204
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.26297031962988715
timing__hold__ws__corner:nom_ff_n40C_1v95,0.061800344368987514
timing__setup__ws__corner:nom_ff_n40C_1v95,29.740328375114174
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.061800
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,34.107056
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,398
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2631399617128477
clock__skew__worst_setup,0.26131111902823506
timing__hold__ws,0.06058459461148799
timing__setup__ws,21.0612120371716
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.060585
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,21.061213
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1654
design__instance__area__stdcell,14502.7
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.879305
design__instance__utilization__stdcell,0.879305
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,3
design__instance__area__class:buffer,15.0144
design__instance__count__class:inverter,38
design__instance__area__class:inverter,142.637
design__instance__count__class:sequential_cell,97
design__instance__area__class:sequential_cell,2123.29
design__instance__count__class:multi_input_combinational_cell,1192
design__instance__area__class:multi_input_combinational_cell,10961.8
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,794
design__instance__area__class:fill_cell,1990.66
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,1559.01
design__instance__displacement__mean,0.901
design__instance__displacement__max,99.16
route__wirelength__estimated,33058.8
design__violations,0
design__instance__count__class:timing_repair_buffer,69
design__instance__area__class:timing_repair_buffer,645.619
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,28
design__instance__area__class:clock_buffer,327.814
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,7
global_route__vias,3862
global_route__wirelength,60078
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,2
design__instance__count__class:antenna_cell,2
design__instance__area__class:antenna_cell,5.0048
route__net,1435
route__net__special,2
route__drc_errors__iter:0,1166
route__wirelength__iter:0,39088
route__drc_errors__iter:1,843
route__wirelength__iter:1,38558
route__drc_errors__iter:2,592
route__wirelength__iter:2,38472
route__drc_errors__iter:3,38
route__wirelength__iter:3,38336
route__drc_errors__iter:4,7
route__wirelength__iter:4,38317
route__drc_errors__iter:5,0
route__wirelength__iter:5,38313
route__drc_errors,0
route__wirelength,38313
route__vias,11255
route__vias__singlecut,11255
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,17
design__critical_disconnected_pin__count,0
route__wirelength__max,289.33
timing__unannotated_net__count__corner:nom_tt_025C_1v80,43
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,43
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,43
