Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,3
design__inferred_latch__count,0
design__instance__count,3799
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,11
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00009336729272035882
power__switching__total,0.00005213394251768477
power__leakage__total,1.7147895547964254E-8
power__total,0.00014551838103216141
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2501879330078085
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.25040198401301006
timing__hold__ws__corner:nom_tt_025C_1v80,0.39125248592820033
timing__setup__ws__corner:nom_tt_025C_1v80,6.028171021868174
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.391252
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,231
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.25017585933207426
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2504665712392943
timing__hold__ws__corner:nom_ss_100C_1v60,1.0048311356282902
timing__setup__ws__corner:nom_ss_100C_1v60,0.5085141340831928
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,1.004831
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,13.104199
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25019342861193583
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2503679556763429
timing__hold__ws__corner:nom_ff_n40C_1v95,0.1459551132377557
timing__setup__ws__corner:nom_ff_n40C_1v95,8.114474655217455
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.145955
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,231
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2501407762835039
clock__skew__worst_setup,0.2502549072136632
timing__hold__ws,0.14417389912224654
timing__setup__ws,0.39256243811200353
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.144174
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,13.025577
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,800
design__instance__area__stdcell,5950.71
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.360795
design__instance__utilization__stdcell,0.360795
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:inverter,12
design__instance__area__class:inverter,45.0432
design__instance__count__class:sequential_cell,16
design__instance__area__class:sequential_cell,340.326
design__instance__count__class:multi_input_combinational_cell,492
design__instance__area__class:multi_input_combinational_cell,4704.51
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,2999
design__instance__area__class:fill_cell,10542.6
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,51.32
design__instance__displacement__mean,0.058
design__instance__displacement__max,5.586
route__wirelength__estimated,13010.1
design__violations,0
design__instance__count__class:timing_repair_buffer,52
design__instance__area__class:timing_repair_buffer,504.234
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,3
design__instance__area__class:clock_buffer,75.072
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,6
global_route__vias,3878
global_route__wirelength,22425
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,594
route__net__special,2
route__drc_errors__iter:0,255
route__wirelength__iter:0,14265
route__drc_errors__iter:1,77
route__wirelength__iter:1,14144
route__drc_errors__iter:2,28
route__wirelength__iter:2,14075
route__drc_errors__iter:3,0
route__wirelength__iter:3,14040
route__drc_errors,0
route__wirelength,14040
route__vias,4038
route__vias__singlecut,4038
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,10
design__critical_disconnected_pin__count,0
route__wirelength__max,200.22
timing__unannotated_net__count__corner:nom_tt_025C_1v80,26
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,26
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,26
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,11
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
