Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,2
design__inferred_latch__count,0
design__instance__count,1557
design__instance__area,15324.7
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,13
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0012120847823098302
power__switching__total,0.00085290806600824
power__leakage__total,1.402030047614744E-8
power__total,0.0020650068763643503
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.3069916907575818
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.3085402298761246
timing__hold__ws__corner:nom_tt_025C_1v80,0.32142472926378113
timing__setup__ws__corner:nom_tt_025C_1v80,13.59594431076742
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.321425
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,16.134123
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,16
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,13
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.33580525421943047
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.3373242614046831
timing__hold__ws__corner:nom_ss_100C_1v60,0.8810703527256365
timing__setup__ws__corner:nom_ss_100C_1v60,11.53777195330091
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.881070
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,12.617347
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,13
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.29163447482397137
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.29320294244636985
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11621953728345516
timing__setup__ws__corner:nom_ff_n40C_1v95,14.406678924269354
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.116220
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,17.427275
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,19
design__max_fanout_violation__count,13
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2865831542080951
clock__skew__worst_setup,0.2875129660175155
timing__hold__ws,0.11296830457504048
timing__setup__ws,11.367055174422148
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.112968
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,12.388682
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1557
design__instance__area__stdcell,15324.7
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.929146
design__instance__utilization__stdcell,0.929146
design__instance__count__class:buffer,1
design__instance__count__class:inverter,64
design__instance__count__class:sequential_cell,252
design__instance__count__class:multi_input_combinational_cell,761
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,416
design__instance__count__class:tap_cell,225
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,38264.3
design__violations,0
design__instance__count__class:timing_repair_buffer,214
design__instance__count__class:clock_buffer,20
design__instance__count__class:clock_inverter,12
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,137
antenna__violating__nets,1
antenna__violating__pins,2
route__antenna_violation__count,1
antenna_diodes_count,8
design__instance__count__class:antenna_cell,8
route__net,1329
route__net__special,2
route__drc_errors__iter:1,1351
route__wirelength__iter:1,44441
route__drc_errors__iter:2,803
route__wirelength__iter:2,43919
route__drc_errors__iter:3,648
route__wirelength__iter:3,43755
route__drc_errors__iter:4,160
route__wirelength__iter:4,43671
route__drc_errors__iter:5,7
route__wirelength__iter:5,43691
route__drc_errors__iter:6,0
route__wirelength__iter:6,43683
route__drc_errors,0
route__wirelength,43683
route__vias,10506
route__vias__singlecut,10506
route__vias__multicut,0
design__disconnected_pin__count,12
design__critical_disconnected_pin__count,0
route__wirelength__max,272.46
timing__unannotated_net__count__corner:nom_tt_025C_1v80,46
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,46
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,46
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,13
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.30011302625821856
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.30103007050249475
timing__hold__ws__corner:min_tt_025C_1v80,0.31679348929672807
timing__setup__ws__corner:min_tt_025C_1v80,13.701903999234391
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
