Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,38
design__inferred_latch__count,0
design__instance__count,10936
design__instance__area,72564.6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,62
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,40
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0057595097459852695
power__switching__total,0.00432911841198802
power__leakage__total,7.420365477628366E-8
power__total,0.010088702663779259
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2755677153352557
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.27495537180870544
timing__hold__ws__corner:nom_tt_025C_1v80,0.32730696857036246
timing__setup__ws__corner:nom_tt_025C_1v80,9.791518095692124
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.327307
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,13.510167
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,830
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,40
design__max_cap_violation__count__corner:nom_ss_100C_1v60,2
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2908735279413722
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.29059785955656137
timing__hold__ws__corner:nom_ss_100C_1v60,0.8908921630353676
timing__setup__ws__corner:nom_ss_100C_1v60,4.519373447838778
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.890892
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,5.587646
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,22
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,40
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2674792962828955
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2669030905168188
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11451023786639998
timing__setup__ws__corner:nom_ff_n40C_1v95,11.874601194000487
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.114510
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,16.337631
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,936
design__max_fanout_violation__count,40
design__max_cap_violation__count,2
clock__skew__worst_hold,-0.26536587567344744
clock__skew__worst_setup,0.2649292804566658
timing__hold__ws,0.1122236224602121
timing__setup__ws,4.105221168090102
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.112224
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,5.454624
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 334.88 225.76
design__core__bbox,2.76 2.72 332.12 223.04
design__io,45
design__die__area,75602.5
design__core__area,72564.6
design__instance__count__stdcell,5688
design__instance__area__stdcell,56118.8
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.773364
design__instance__utilization__stdcell,0.773364
design__rows,81
design__rows:unithd,81
design__sites,57996
design__sites:unithd,57996
design__instance__count__class:buffer,4
design__instance__area__class:buffer,18.768
design__instance__count__class:inverter,351
design__instance__area__class:inverter,1437.63
design__instance__count__class:sequential_cell,678
design__instance__area__class:sequential_cell,17814.6
design__instance__count__class:multi_input_combinational_cell,2737
design__instance__area__class:multi_input_combinational_cell,26746.9
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,5248
design__instance__area__class:fill_cell,16445.8
design__instance__count__class:tap_cell,1037
design__instance__area__class:tap_cell,1297.49
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,13911.9
design__instance__displacement__mean,2.387
design__instance__displacement__max,89.76
route__wirelength__estimated,118570
design__violations,0
design__instance__count__class:timing_repair_buffer,745
design__instance__area__class:timing_repair_buffer,7188.14
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,105
design__instance__area__class:clock_buffer,1440.13
design__instance__count__class:clock_inverter,9
design__instance__area__class:clock_inverter,120.115
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,416
global_route__vias,17
global_route__wirelength,210836
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,2
design__instance__count__class:antenna_cell,22
design__instance__area__class:antenna_cell,55.0528
route__net,4603
route__net__special,2
route__drc_errors__iter:0,55
route__wirelength__iter:0,137153
route__drc_errors__iter:1,11
route__wirelength__iter:1,137125
route__drc_errors__iter:2,12
route__wirelength__iter:2,137043
route__drc_errors__iter:3,0
route__wirelength__iter:3,137039
route__drc_errors__iter:4,0
route__wirelength__iter:4,137061
route__drc_errors,0
route__wirelength,137039
route__vias,34369
route__vias__singlecut,34369
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,8
design__critical_disconnected_pin__count,0
route__wirelength__max,528.89
timing__unannotated_net__count__corner:nom_tt_025C_1v80,67
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,67
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,67
