Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,1
design__inferred_latch__count,0
design__instance__count,2267
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,33
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0017592073418200016
power__switching__total,0.0017430708976462483
power__leakage__total,1.6295183868919594E-8
power__total,0.003502294421195984
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.26309374867814067
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.26351363503792913
timing__hold__ws__corner:nom_tt_025C_1v80,0.3217372015428992
timing__setup__ws__corner:nom_tt_025C_1v80,7.999899635835735
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.321737
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,17.857351
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,445
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2722775137975746
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2726784708542578
timing__hold__ws__corner:nom_ss_100C_1v60,0.8825123104308009
timing__setup__ws__corner:nom_ss_100C_1v60,4.632054870776143
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.882512
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,8.883478
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25919847557492626
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2596290478316289
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10862938633863868
timing__setup__ws__corner:nom_ff_n40C_1v95,9.32687908860457
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.108629
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,18.518349
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,470
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2582146514138302
clock__skew__worst_setup,0.2585365328333481
timing__hold__ws,0.10691864363161067
timing__setup__ws,4.409108758449769
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.106919
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,8.799645
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1476
design__instance__area__stdcell,14395.1
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.872781
design__instance__utilization__stdcell,0.872781
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,1
design__instance__area__class:buffer,5.0048
design__instance__count__class:inverter,33
design__instance__area__class:inverter,123.869
design__instance__count__class:sequential_cell,151
design__instance__area__class:sequential_cell,3737.33
design__instance__count__class:multi_input_combinational_cell,827
design__instance__area__class:multi_input_combinational_cell,7911.34
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,791
design__instance__area__class:fill_cell,2098.26
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,5181.48
design__instance__displacement__mean,3.345
design__instance__displacement__max,93.3
route__wirelength__estimated,35521.2
design__violations,0
design__instance__count__class:timing_repair_buffer,203
design__instance__area__class:timing_repair_buffer,1973.14
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,31
design__instance__area__class:clock_buffer,350.336
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,96
global_route__vias,23
global_route__wirelength,63342
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,1
design__instance__count__class:antenna_cell,5
design__instance__area__class:antenna_cell,12.512
route__net,1251
route__net__special,2
route__drc_errors__iter:0,12
route__wirelength__iter:0,42243
route__drc_errors__iter:1,1
route__wirelength__iter:1,42243
route__drc_errors__iter:2,0
route__wirelength__iter:2,42243
route__drc_errors__iter:3,258
route__wirelength__iter:3,42179
route__drc_errors__iter:4,63
route__wirelength__iter:4,42155
route__drc_errors__iter:5,48
route__wirelength__iter:5,42209
route__drc_errors__iter:6,48
route__wirelength__iter:6,42209
route__drc_errors__iter:7,0
route__wirelength__iter:7,42234
route__drc_errors,0
route__wirelength,42243
route__vias,10413
route__vias__singlecut,10413
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,2
design__critical_disconnected_pin__count,0
route__wirelength__max,354.14
timing__unannotated_net__count__corner:nom_tt_025C_1v80,31
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,31
