Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,21
design__inferred_latch__count,0
design__instance__count,2678
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,22
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0003154146543238312
power__switching__total,0.00013559592480305582
power__leakage__total,1.8472769980348858E-8
power__total,0.0004510290746111423
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2702008970824337
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2727296521371405
timing__hold__ws__corner:nom_tt_025C_1v80,0.32391845678107034
timing__setup__ws__corner:nom_tt_025C_1v80,7.308108991485589
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.323918
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,14.369118
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,382
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.28104122602376164
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.28633565773333086
timing__hold__ws__corner:nom_ss_100C_1v60,0.8965521911972857
timing__setup__ws__corner:nom_ss_100C_1v60,-0.8532659265105612
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-3.765379226105696
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-0.8532659265105612
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.896552
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,5
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,9.045848
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2669232688208621
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2678882747011585
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11557843897975387
timing__setup__ws__corner:nom_ff_n40C_1v95,10.502140787607779
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.115578
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,390
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2639523119229408
clock__skew__worst_setup,0.26561900653022097
timing__hold__ws,0.11366630181036302
timing__setup__ws,-1.084995235477755
timing__hold__tns,0.0
timing__setup__tns,-4.8608052292394115
timing__hold__wns,0
timing__setup__wns,-1.084995235477755
timing__hold_vio__count,0
timing__hold_r2r__ws,0.113666
timing__hold_r2r_vio__count,0
timing__setup_vio__count,15
timing__setup_r2r__ws,8.838452
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1537
design__instance__area__stdcell,13231.4
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.80223
design__instance__utilization__stdcell,0.80223
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,7
design__instance__area__class:buffer,35.0336
design__instance__count__class:inverter,40
design__instance__area__class:inverter,150.144
design__instance__count__class:sequential_cell,78
design__instance__area__class:sequential_cell,1659.09
design__instance__count__class:multi_input_combinational_cell,1035
design__instance__area__class:multi_input_combinational_cell,9632.99
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,1141
design__instance__area__class:fill_cell,3261.88
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,1400.98
design__instance__displacement__mean,0.868
design__instance__displacement__max,39.52
route__wirelength__estimated,30449.7
design__violations,0
design__instance__count__class:timing_repair_buffer,132
design__instance__area__class:timing_repair_buffer,1209.91
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,19
design__instance__area__class:clock_buffer,260.25
design__instance__count__setup_buffer,1
design__instance__count__hold_buffer,33
global_route__vias,3598
global_route__wirelength,53951
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,1
design__instance__count__class:antenna_cell,1
design__instance__area__class:antenna_cell,2.5024
route__net,1328
route__net__special,2
route__drc_errors__iter:0,963
route__wirelength__iter:0,36042
route__drc_errors__iter:1,531
route__wirelength__iter:1,35673
route__drc_errors__iter:2,430
route__wirelength__iter:2,35439
route__drc_errors__iter:3,20
route__wirelength__iter:3,35261
route__drc_errors__iter:4,15
route__wirelength__iter:4,35262
route__drc_errors__iter:5,15
route__wirelength__iter:5,35262
route__drc_errors__iter:6,0
route__wirelength__iter:6,35259
route__drc_errors,0
route__wirelength,35259
route__vias,9923
route__vias__singlecut,9923
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,17
design__critical_disconnected_pin__count,0
route__wirelength__max,316.23
timing__unannotated_net__count__corner:nom_tt_025C_1v80,19
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,19
