Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,448
design__inferred_latch__count,0
design__instance__count,2405
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0004558846994768828
power__switching__total,0.0002445426071062684
power__leakage__total,1.779562808224E-8
power__total,0.0007004451472312212
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.27120864655038707
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.27129407821454815
timing__hold__ws__corner:nom_tt_025C_1v80,0.3369969954033435
timing__setup__ws__corner:nom_tt_025C_1v80,6.611530177139419
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.336997
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,14.738579
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,239
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.28730876824193624
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2873915353707629
timing__hold__ws__corner:nom_ss_100C_1v60,0.9211012213674862
timing__setup__ws__corner:nom_ss_100C_1v60,-2.148647542926497
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-12.474514219126279
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-2.148647542926497
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.921101
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,6
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,9.165684
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2655473138763782
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2656349659866513
timing__hold__ws__corner:nom_ff_n40C_1v95,0.12207357692441347
timing__setup__ws__corner:nom_ff_n40C_1v95,9.923810498691102
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.122074
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,16.538532
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,309
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.26438565973728345
clock__skew__worst_setup,0.2644405047562511
timing__hold__ws,0.11780876607700129
timing__setup__ws,-2.4595455257511243
timing__hold__tns,0.0
timing__setup__tns,-14.332494707844248
timing__hold__wns,0
timing__setup__wns,-2.4595455257511243
timing__hold_vio__count,0
timing__hold_r2r__ws,0.117809
timing__hold_r2r_vio__count,0
timing__setup_vio__count,18
timing__setup_r2r__ws,9.022919
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1611
design__instance__area__stdcell,14366.3
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.871036
design__instance__utilization__stdcell,0.871036
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,2
design__instance__area__class:buffer,10.0096
design__instance__count__class:inverter,45
design__instance__area__class:inverter,168.912
design__instance__count__class:sequential_cell,108
design__instance__area__class:sequential_cell,2567.46
design__instance__count__class:multi_input_combinational_cell,1040
design__instance__area__class:multi_input_combinational_cell,9545.4
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,794
design__instance__area__class:fill_cell,2127.04
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,9557.67
design__instance__displacement__mean,5.689
design__instance__displacement__max,112.68
route__wirelength__estimated,43798.7
design__violations,0
design__instance__count__class:timing_repair_buffer,151
design__instance__area__class:timing_repair_buffer,1420.11
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,31
design__instance__area__class:clock_buffer,350.336
design__instance__count__setup_buffer,1
design__instance__count__hold_buffer,75
global_route__vias,28
global_route__wirelength,76286
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,2
design__instance__count__class:antenna_cell,9
design__instance__area__class:antenna_cell,22.5216
route__net,1382
route__net__special,2
route__drc_errors__iter:0,134
route__wirelength__iter:0,52881
route__drc_errors__iter:1,43
route__wirelength__iter:1,52832
route__drc_errors__iter:2,24
route__wirelength__iter:2,52826
route__drc_errors__iter:3,13
route__wirelength__iter:3,52848
route__drc_errors__iter:4,10
route__wirelength__iter:4,52856
route__drc_errors__iter:5,0
route__wirelength__iter:5,52851
route__drc_errors__iter:6,170
route__wirelength__iter:6,52811
route__drc_errors__iter:7,90
route__wirelength__iter:7,52780
route__drc_errors__iter:8,90
route__wirelength__iter:8,52780
route__drc_errors__iter:9,1
route__wirelength__iter:9,52790
route__drc_errors__iter:10,0
route__wirelength__iter:10,52788
route__drc_errors,0
route__wirelength,52851
route__vias,12306
route__vias__singlecut,12306
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,14
