Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,24
design__inferred_latch__count,0
design__instance__count,3581
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0007818132289685309
power__switching__total,0.0007400056929327548
power__leakage__total,1.710256292142276E-8
power__total,0.0015218360349535942
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.26023181568432097
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.26023181568432097
timing__hold__ws__corner:nom_tt_025C_1v80,0.3414557622186431
timing__setup__ws__corner:nom_tt_025C_1v80,5.637792614551982
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.341456
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,44
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.26614730617143023
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.26614730617143023
timing__hold__ws__corner:nom_ss_100C_1v60,0.9289346221838776
timing__setup__ws__corner:nom_ss_100C_1v60,-0.5146123672853237
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-0.7804797029576009
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-0.5146123672853237
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.928935
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,2
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25814992540966397
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.25814992540966397
timing__hold__ws__corner:nom_ff_n40C_1v95,0.12091383792009036
timing__setup__ws__corner:nom_ff_n40C_1v95,7.893670829299985
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.120914
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,55
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2572178098874023
clock__skew__worst_setup,0.2572178098874023
timing__hold__ws,0.11752144035010217
timing__setup__ws,-0.6118785651343998
timing__hold__tns,0.0
timing__setup__tns,-1.0955840988968935
timing__hold__wns,0
timing__setup__wns,-0.6118785651343998
timing__hold_vio__count,0
timing__hold_r2r__ws,0.117521
timing__hold_r2r_vio__count,0
timing__setup_vio__count,8
timing__setup_r2r__ws,inf
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,853
design__instance__area__stdcell,6960.43
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.422015
design__instance__utilization__stdcell,0.422015
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,2
design__instance__area__class:buffer,10.0096
design__instance__count__class:inverter,13
design__instance__area__class:inverter,48.7968
design__instance__count__class:sequential_cell,28
design__instance__area__class:sequential_cell,735.706
design__instance__count__class:multi_input_combinational_cell,528
design__instance__area__class:multi_input_combinational_cell,5302.59
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,2728
design__instance__area__class:fill_cell,9532.89
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,147.9
design__instance__displacement__mean,0.159
design__instance__displacement__max,16.9
route__wirelength__estimated,12030.7
design__violations,0
design__instance__count__class:timing_repair_buffer,51
design__instance__area__class:timing_repair_buffer,454.186
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,5
design__instance__area__class:clock_buffer,125.12
design__instance__count__setup_buffer,5
design__instance__count__hold_buffer,4
flow__warnings__count:RSZ-0062,1
global_route__vias,8
global_route__wirelength,20969
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,1
route__net,646
route__net__special,2
route__drc_errors__iter:0,0
route__wirelength__iter:0,12401
route__drc_errors__iter:1,48
route__wirelength__iter:1,12411
route__drc_errors__iter:2,27
route__wirelength__iter:2,12406
route__drc_errors__iter:3,0
route__wirelength__iter:3,12402
route__drc_errors,0
route__wirelength,12401
route__vias,4106
route__vias__singlecut,4106
route__vias__multicut,0
design__instance__count__class:antenna_cell,1
design__instance__area__class:antenna_cell,2.5024
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,8
design__critical_disconnected_pin__count,0
route__wirelength__max,148.23
timing__unannotated_net__count__corner:nom_tt_025C_1v80,24
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,24
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,24
