Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,4
design__inferred_latch__count,0
design__instance__count,2224
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,100
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0004151825269218534
power__switching__total,0.00014132117212284356
power__leakage__total,1.9812855356349246E-8
power__total,0.0005565235042013228
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.263546608662693
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2639399051802897
timing__hold__ws__corner:nom_tt_025C_1v80,0.32397258015505154
timing__setup__ws__corner:nom_tt_025C_1v80,25.99988742338212
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.323973
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,37.281750
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,450
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1
design__max_cap_violation__count__corner:nom_ss_100C_1v60,1
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.27011912915435754
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2722420976820874
timing__hold__ws__corner:nom_ss_100C_1v60,0.8443462834561555
timing__setup__ws__corner:nom_ss_100C_1v60,20.531298131638927
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.844346
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,34.683285
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2599256994321986
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.26053229755443397
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11171064389717603
timing__setup__ws__corner:nom_ff_n40C_1v95,28.197446953264826
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.111711
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,38.208061
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,474
design__max_fanout_violation__count,1
design__max_cap_violation__count,2
clock__skew__worst_hold,-0.2584982578934916
clock__skew__worst_setup,0.25900760047601923
timing__hold__ws,0.1098671185126475
timing__setup__ws,20.371218177815322
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.109867
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,34.654709
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1592
design__instance__area__stdcell,14980.6
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.908284
design__instance__utilization__stdcell,0.908284
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,3
design__instance__area__class:buffer,15.0144
design__instance__count__class:inverter,40
design__instance__area__class:inverter,150.144
design__instance__count__class:sequential_cell,163
design__instance__area__class:sequential_cell,3467.08
design__instance__count__class:multi_input_combinational_cell,892
design__instance__area__class:multi_input_combinational_cell,8041.46
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,632
design__instance__area__class:fill_cell,1512.7
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,12975
design__instance__displacement__mean,7.882
design__instance__displacement__max,171.5
route__wirelength__estimated,48864.9
design__violations,0
design__instance__count__class:timing_repair_buffer,193
design__instance__area__class:timing_repair_buffer,1896.82
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,52
design__instance__area__class:clock_buffer,1068.52
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,121
global_route__vias,90
global_route__wirelength,85891
flow__warnings__count:GRT-0115,1
flow__warnings__count:GRT-0273,2
flow__warnings__count:GRT-0704,1
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,8
design__instance__count__class:antenna_cell,24
design__instance__area__class:antenna_cell,60.0576
route__net,1359
route__net__special,2
route__drc_errors__iter:0,832
route__wirelength__iter:0,59389
route__drc_errors__iter:1,396
route__wirelength__iter:1,59301
route__drc_errors__iter:2,290
route__wirelength__iter:2,59224
route__drc_errors__iter:3,243
route__wirelength__iter:3,59208
route__drc_errors__iter:4,220
route__wirelength__iter:4,59180
route__drc_errors__iter:5,220
route__wirelength__iter:5,59180
route__drc_errors__iter:6,216
route__wirelength__iter:6,59192
route__drc_errors__iter:7,182
route__wirelength__iter:7,59160
route__drc_errors__iter:8,182
route__wirelength__iter:8,59160
route__drc_errors__iter:9,168
route__wirelength__iter:9,59161
route__drc_errors__iter:10,85
route__wirelength__iter:10,59199
route__drc_errors__iter:11,55
route__wirelength__iter:11,59164
route__drc_errors__iter:12,50
route__wirelength__iter:12,59186
