Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,10
design__inferred_latch__count,0
design__instance__count,3188
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00033698781044222414
power__switching__total,0.00009853979281615466
power__leakage__total,1.6925836732184507E-8
power__total,0.0004355445271357894
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.27126340830262546
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.26639755044825814
timing__hold__ws__corner:nom_tt_025C_1v80,0.32401049427241474
timing__setup__ws__corner:nom_tt_025C_1v80,13.787364529194925
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.324010
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,16.183147
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,55
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2847680782893772
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.27752148586924746
timing__hold__ws__corner:nom_ss_100C_1v60,0.9026395442134675
timing__setup__ws__corner:nom_ss_100C_1v60,11.890569754259898
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.902640
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,12.906317
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2664147033944737
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2629506686817955
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11352552552685913
timing__setup__ws__corner:nom_ff_n40C_1v95,14.558139106285983
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.113526
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,17.473200
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,88
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.26418123991709297
clock__skew__worst_setup,0.2610840229021253
timing__hold__ws,0.11097062471918295
timing__setup__ws,11.86571319230318
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.110971
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,12.782365
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1134
design__instance__area__stdcell,9562.92
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.579806
design__instance__utilization__stdcell,0.579806
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,4
design__instance__area__class:buffer,20.0192
design__instance__count__class:inverter,246
design__instance__area__class:inverter,923.386
design__instance__count__class:sequential_cell,129
design__instance__area__class:sequential_cell,3379.49
design__instance__count__class:multi_input_combinational_cell,345
design__instance__area__class:multi_input_combinational_cell,3101.72
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,2054
design__instance__area__class:fill_cell,6930.4
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,4827.25
design__instance__displacement__mean,3.982
design__instance__displacement__max,70.72
route__wirelength__estimated,17121.2
design__violations,0
design__instance__count__class:timing_repair_buffer,154
design__instance__area__class:timing_repair_buffer,1506.44
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,31
design__instance__area__class:clock_buffer,350.336
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,91
global_route__vias,5300
global_route__wirelength,30442
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,914
route__net__special,2
route__drc_errors__iter:0,251
route__wirelength__iter:0,18604
route__drc_errors__iter:1,114
route__wirelength__iter:1,18372
route__drc_errors__iter:2,154
route__wirelength__iter:2,18390
route__drc_errors__iter:3,9
route__wirelength__iter:3,18342
route__drc_errors__iter:4,3
route__wirelength__iter:4,18342
route__drc_errors__iter:5,3
route__wirelength__iter:5,18342
route__drc_errors__iter:6,0
route__wirelength__iter:6,18340
route__drc_errors,0
route__wirelength,18340
route__vias,5572
route__vias__singlecut,5572
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,14
design__critical_disconnected_pin__count,0
route__wirelength__max,240.31
timing__unannotated_net__count__corner:nom_tt_025C_1v80,48
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,48
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,48
