Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,2361
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00023877687635831535
power__switching__total,0.0001155960198957473
power__leakage__total,1.8341458130066712E-8
power__total,0.0003543912316672504
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2610760292961219
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.26063632545478344
timing__hold__ws__corner:nom_tt_025C_1v80,0.3285422027424952
timing__setup__ws__corner:nom_tt_025C_1v80,26.749760497131238
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.328542
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,37.324924
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,303
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.269730828640513
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.26931421743873984
timing__hold__ws__corner:nom_ss_100C_1v60,0.944564120321978
timing__setup__ws__corner:nom_ss_100C_1v60,20.802339994930723
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.944564
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,20.802340
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2585079723452319
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2580578879183196
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11034923287472609
timing__setup__ws__corner:nom_ff_n40C_1v95,28.544598603850098
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.110349
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,38.232021
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,356
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2572877261843554
clock__skew__worst_setup,0.2569811658430107
timing__hold__ws,0.1084115050638939
timing__setup__ws,20.567230278802544
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.108412
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,20.567230
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1603
design__instance__area__stdcell,14575.2
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.883705
design__instance__utilization__stdcell,0.883705
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,2
design__instance__area__class:buffer,10.0096
design__instance__count__class:inverter,24
design__instance__area__class:inverter,90.0864
design__instance__count__class:sequential_cell,127
design__instance__area__class:sequential_cell,2701.34
design__instance__count__class:multi_input_combinational_cell,1072
design__instance__area__class:multi_input_combinational_cell,9937.03
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,758
design__instance__area__class:fill_cell,1918.09
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,5508.25
design__instance__displacement__mean,3.278
design__instance__displacement__max,109.78
route__wirelength__estimated,35189.7
design__violations,0
design__instance__count__class:timing_repair_buffer,134
design__instance__area__class:timing_repair_buffer,1300
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,18
design__instance__area__class:clock_buffer,252.742
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,60
global_route__vias,3727
global_route__wirelength,60823
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,1
design__instance__count__class:antenna_cell,1
design__instance__area__class:antenna_cell,2.5024
route__net,1395
route__net__special,2
route__drc_errors__iter:0,1383
route__wirelength__iter:0,41066
route__drc_errors__iter:1,714
route__wirelength__iter:1,40594
route__drc_errors__iter:2,601
route__wirelength__iter:2,40480
route__drc_errors__iter:3,115
route__wirelength__iter:3,40291
route__drc_errors__iter:4,17
route__wirelength__iter:4,40271
route__drc_errors__iter:5,3
route__wirelength__iter:5,40275
route__drc_errors__iter:6,3
route__wirelength__iter:6,40275
route__drc_errors__iter:7,0
route__wirelength__iter:7,40285
route__drc_errors,0
route__wirelength,40285
route__vias,10895
route__vias__singlecut,10895
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,17
design__critical_disconnected_pin__count,0
route__wirelength__max,351.38
timing__unannotated_net__count__corner:nom_tt_025C_1v80,34
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,34
