Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,17
design__inferred_latch__count,0
design__instance__count,2409
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0007999726803973317
power__switching__total,0.0002297433966305107
power__leakage__total,1.9403836759579463E-8
power__total,0.001029735547490418
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.26251054850681105
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2628760894480071
timing__hold__ws__corner:nom_tt_025C_1v80,0.3420775426411696
timing__setup__ws__corner:nom_tt_025C_1v80,9.720875046726514
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.342078
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,12.920554
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,282
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.27006606049227955
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.26992339682958044
timing__hold__ws__corner:nom_ss_100C_1v60,0.9029700576172459
timing__setup__ws__corner:nom_ss_100C_1v60,3.7382507036871284
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.902970
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,6.060924
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2594173838059978
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2597183097653333
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11606421707791734
timing__setup__ws__corner:nom_ff_n40C_1v95,12.03660138962179
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.116064
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,17.716705
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,341
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2578044517502056
clock__skew__worst_setup,0.2580050413008528
timing__hold__ws,0.11288398313393543
timing__setup__ws,3.471955266004448
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.112884
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,5.849807
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1439
design__instance__area__stdcell,13738.2
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.832954
design__instance__utilization__stdcell,0.832954
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,4
design__instance__area__class:buffer,20.0192
design__instance__count__class:inverter,25
design__instance__area__class:inverter,93.84
design__instance__count__class:sequential_cell,161
design__instance__area__class:sequential_cell,3424.53
design__instance__count__class:multi_input_combinational_cell,832
design__instance__area__class:multi_input_combinational_cell,7618.56
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,970
design__instance__area__class:fill_cell,2755.14
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,5871.23
design__instance__displacement__mean,3.895
design__instance__displacement__max,109.88
route__wirelength__estimated,38973.2
design__violations,0
design__instance__count__class:timing_repair_buffer,132
design__instance__area__class:timing_repair_buffer,1221.17
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,50
design__instance__area__class:clock_buffer,1053.51
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,53
global_route__vias,36
global_route__wirelength,71870
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,2
design__instance__count__class:antenna_cell,10
design__instance__area__class:antenna_cell,25.024
route__net,1222
route__net__special,2
route__drc_errors__iter:0,6
route__wirelength__iter:0,48178
route__drc_errors__iter:1,0
route__wirelength__iter:1,48174
route__drc_errors__iter:2,1235
route__wirelength__iter:2,48301
route__drc_errors__iter:3,372
route__wirelength__iter:3,48073
route__drc_errors__iter:4,152
route__wirelength__iter:4,48147
route__drc_errors__iter:5,104
route__wirelength__iter:5,48130
route__drc_errors__iter:6,57
route__wirelength__iter:6,48118
route__drc_errors__iter:7,56
route__wirelength__iter:7,48120
route__drc_errors__iter:8,56
route__wirelength__iter:8,48120
route__drc_errors__iter:9,1
route__wirelength__iter:9,48154
route__drc_errors__iter:10,0
route__wirelength__iter:10,48160
route__drc_errors,0
route__wirelength,48174
route__vias,11079
route__vias__singlecut,11079
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,16
design__critical_disconnected_pin__count,0
route__wirelength__max,309.335
