Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,185
design__inferred_latch__count,0
design__instance__count,33608
design__instance__area,149183
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,72
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00119590328540653
power__switching__total,0.00042526519973762333
power__leakage__total,1.6242927358689485E-7
power__total,0.0016213308554142714
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.4002712996570854
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.40517987334353334
timing__hold__ws__corner:nom_tt_025C_1v80,0.3017191026866399
timing__setup__ws__corner:nom_tt_025C_1v80,37.07529677094955
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.301719
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,63.758705
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,364
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.5173279728803594
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.5244692606436252
timing__hold__ws__corner:nom_ss_100C_1v60,0.8230512060408569
timing__setup__ws__corner:nom_ss_100C_1v60,34.74716790425081
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.823051
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,60.979774
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.35077117203694513
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.3547147398430966
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10422968338991956
timing__setup__ws__corner:nom_ff_n40C_1v95,37.9992865706642
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.104230
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,64.709213
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,432
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.3486448728400472
clock__skew__worst_setup,0.35175799380029243
timing__hold__ws,0.10345619098678735
timing__setup__ws,34.59071349483896
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.103456
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,60.934776
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 682.64 225.76
design__core__bbox,2.76 2.72 679.88 223.04
design__io,45
design__die__area,154113
design__core__area,149183
design__instance__count__stdcell,7772
design__instance__area__stdcell,59026.6
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.395666
design__instance__utilization__stdcell,0.395666
design__rows,81
design__rows:unithd,81
design__sites,119232
design__sites:unithd,119232
design__instance__count__class:buffer,378
design__instance__area__class:buffer,1870.54
design__instance__count__class:inverter,477
design__instance__area__class:inverter,1820.5
design__instance__count__class:sequential_cell,718
design__instance__area__class:sequential_cell,15597.5
design__instance__count__class:multi_input_combinational_cell,3018
design__instance__area__class:multi_input_combinational_cell,25789.7
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,25836
design__instance__area__class:fill_cell,90156.5
design__instance__count__class:tap_cell,2158
design__instance__area__class:tap_cell,2700.09
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,2882.94
design__instance__displacement__mean,0.364
design__instance__displacement__max,11.38
route__wirelength__estimated,129724
design__violations,0
design__instance__count__class:timing_repair_buffer,564
design__instance__area__class:timing_repair_buffer,5428.96
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,362
design__instance__area__class:clock_buffer,4949.75
design__instance__count__class:clock_inverter,64
design__instance__area__class:clock_inverter,787.005
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,435
global_route__vias,214
global_route__wirelength,218716
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,15
design__instance__count__class:antenna_cell,33
design__instance__area__class:antenna_cell,82.5792
route__net,5426
route__net__special,2
route__drc_errors__iter:0,295
route__wirelength__iter:0,148228
route__drc_errors__iter:1,53
route__wirelength__iter:1,148155
route__drc_errors__iter:2,67
route__wirelength__iter:2,148138
route__drc_errors__iter:3,0
route__wirelength__iter:3,148120
route__drc_errors__iter:4,5
route__wirelength__iter:4,148130
route__drc_errors__iter:5,5
route__wirelength__iter:5,148130
route__drc_errors__iter:6,0
route__wirelength__iter:6,148131
route__drc_errors,0
route__wirelength,148120
route__vias,36169
route__vias__singlecut,36169
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,4
design__critical_disconnected_pin__count,0
route__wirelength__max,561.06
timing__unannotated_net__count__corner:nom_tt_025C_1v80,194
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,194
