Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,2152
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,33
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0008629847434349358
power__switching__total,0.00021925744658801705
power__leakage__total,1.9194684952594798E-8
power__total,0.0010822614422068
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.26010774825781025
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2598611677170672
timing__hold__ws__corner:nom_tt_025C_1v80,0.3216429991165955
timing__setup__ws__corner:nom_tt_025C_1v80,13.369150609418089
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.321643
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,13.812990
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,158
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.26569577845454506
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2667763585549736
timing__hold__ws__corner:nom_ss_100C_1v60,0.8945806570943975
timing__setup__ws__corner:nom_ss_100C_1v60,7.253160943818384
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.894581
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,7.253161
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.25717920188062904
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2572367391905075
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10985707099399047
timing__setup__ws__corner:nom_ff_n40C_1v95,14.17436519388547
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.109857
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,16.224237
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,187
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2563896667543373
clock__skew__worst_setup,0.2564498130883974
timing__hold__ws,0.10805961986628695
timing__setup__ws,7.142964644169624
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.108060
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,7.142965
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1333
design__instance__area__stdcell,14134.8
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.857002
design__instance__utilization__stdcell,0.857002
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,6
design__instance__area__class:buffer,30.0288
design__instance__count__class:inverter,28
design__instance__area__class:inverter,105.101
design__instance__count__class:sequential_cell,176
design__instance__area__class:sequential_cell,4604.42
design__instance__count__class:multi_input_combinational_cell,655
design__instance__area__class:multi_input_combinational_cell,6220.97
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,819
design__instance__area__class:fill_cell,2358.51
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,4489.65
design__instance__displacement__mean,3.186
design__instance__displacement__max,94.62
route__wirelength__estimated,28642.3
design__violations,0
design__instance__count__class:timing_repair_buffer,176
design__instance__area__class:timing_repair_buffer,1721.65
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,65
design__instance__area__class:clock_buffer,1166.12
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,109
global_route__vias,13
global_route__wirelength,51308
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,1
design__instance__count__class:antenna_cell,2
design__instance__area__class:antenna_cell,5.0048
route__net,1109
route__net__special,2
route__drc_errors__iter:0,24
route__wirelength__iter:0,33338
route__drc_errors__iter:1,1
route__wirelength__iter:1,33319
route__drc_errors__iter:2,1
route__wirelength__iter:2,33319
route__drc_errors__iter:3,0
route__wirelength__iter:3,33318
route__drc_errors__iter:4,0
route__wirelength__iter:4,33319
route__drc_errors,0
route__wirelength,33318
route__vias,8558
route__vias__singlecut,8558
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,15
design__critical_disconnected_pin__count,0
route__wirelength__max,363.42
timing__unannotated_net__count__corner:nom_tt_025C_1v80,47
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,47
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,47
