Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,2
design__inferred_latch__count,0
design__instance__count,5624
design__instance__area,33956.9
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,11
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,11
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0008399008656851947
power__switching__total,0.0002655714633874595
power__leakage__total,3.507166823624175E-8
power__total,0.0011055073700845242
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2703306266465302
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.27051464611806625
timing__hold__ws__corner:nom_tt_025C_1v80,0.32374159824824567
timing__setup__ws__corner:nom_tt_025C_1v80,11.798980793030108
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.323742
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,11.798981
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,332
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,11
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.28038203108424714
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.28176126118674627
timing__hold__ws__corner:nom_ss_100C_1v60,0.8692862231643822
timing__setup__ws__corner:nom_ss_100C_1v60,4.39485793530264
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.869286
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,4.394858
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,11
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2648882577147457
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.264792112398094
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10755768802265832
timing__setup__ws__corner:nom_ff_n40C_1v95,14.563966445062444
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.107558
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,14.563967
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,492
design__max_fanout_violation__count,11
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2632424908120715
clock__skew__worst_setup,0.2631801517874758
timing__hold__ws,0.10626255731665304
timing__setup__ws,3.93943022686631
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.106263
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,3.939430
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 225.76
design__core__bbox,2.76 2.72 158.24 223.04
design__io,45
design__die__area,36347.4
design__core__area,34255.4
design__instance__count__stdcell,2365
design__instance__area__stdcell,22940.8
design__instance__count__macros,1
design__instance__area__macros,722.534
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.690791
design__instance__utilization__stdcell,0.684128
design__rows,93
design__rows:unithd,93
design__sites,26562
design__sites:unithd,26562
design__instance__count__class:macro,1
design__instance__area__class:macro,722.534
design__instance__count__class:buffer,3
design__instance__area__class:buffer,15.0144
design__instance__count__class:inverter,16
design__instance__area__class:inverter,60.0576
design__instance__count__class:sequential_cell,269
design__instance__area__class:sequential_cell,5731.75
design__instance__count__class:multi_input_combinational_cell,1264
design__instance__area__class:multi_input_combinational_cell,12901.1
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,3
flow__warnings__count:ORD-2011,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,3258
design__instance__area__class:fill_cell,10293.6
design__instance__count__class:tap_cell,449
design__instance__area__class:tap_cell,561.789
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,722.983
design__instance__displacement__mean,0.283
design__instance__displacement__max,12.88
route__wirelength__estimated,49520.2
design__violations,0
design__instance__count__class:timing_repair_buffer,320
design__instance__area__class:timing_repair_buffer,3075.45
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,41
design__instance__area__class:clock_buffer,583.059
design__instance__count__class:clock_inverter,1
design__instance__area__class:clock_inverter,7.5072
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,106
global_route__vias,6426
global_route__wirelength,94067
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,2
design__instance__count__class:antenna_cell,2
design__instance__area__class:antenna_cell,5.0048
route__net,1922
route__net__special,2
route__drc_errors__iter:0,1001
route__wirelength__iter:0,62841
route__drc_errors__iter:1,399
route__wirelength__iter:1,62146
route__drc_errors__iter:2,378
route__wirelength__iter:2,61958
route__drc_errors__iter:3,45
route__wirelength__iter:3,61894
route__drc_errors__iter:4,0
route__wirelength__iter:4,61893
route__drc_errors,0
route__wirelength,61893
route__vias,15099
route__vias__singlecut,15099
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,36
design__critical_disconnected_pin__count,0
route__wirelength__max,303.66
timing__unannotated_net__count__corner:nom_tt_025C_1v80,47
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,47
