Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,14
design__inferred_latch__count,0
design__instance__count,2857
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00031396362464874983
power__switching__total,0.00011395125329727307
power__leakage__total,1.7650137351665762E-8
power__total,0.00042793250759132206
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.25815786350451453
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.257713996326716
timing__hold__ws__corner:nom_tt_025C_1v80,0.341894522370384
timing__setup__ws__corner:nom_tt_025C_1v80,7.314691281940146
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.341895
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,17.133720
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,121
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2617394430832493
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.26180910958001485
timing__hold__ws__corner:nom_ss_100C_1v60,0.9211687229292924
timing__setup__ws__corner:nom_ss_100C_1v60,-0.9805614375789854
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-4.298902688838117
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-0.9805614375789854
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.921169
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,6
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,11.198313
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.256176670461039
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.25577862773987786
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11818502067068797
timing__setup__ws__corner:nom_ff_n40C_1v95,10.492215393486921
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.118185
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,18.112989
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,165
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2553492489729604
clock__skew__worst_setup,0.2549629468606167
timing__hold__ws,0.1158986828202641
timing__setup__ws,-1.1942909221834668
timing__hold__tns,0.0
timing__setup__tns,-5.661469675533981
timing__hold__wns,0
timing__setup__wns,-1.1942909221834668
timing__hold_vio__count,0
timing__hold_r2r__ws,0.115899
timing__hold_r2r_vio__count,0
timing__setup_vio__count,18
timing__setup_r2r__ws,11.127161
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1341
design__instance__area__stdcell,11741.3
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.71188
design__instance__utilization__stdcell,0.71188
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,2
design__instance__area__class:buffer,10.0096
design__instance__count__class:inverter,20
design__instance__area__class:inverter,75.072
design__instance__count__class:sequential_cell,77
design__instance__area__class:sequential_cell,1637.82
design__instance__count__class:multi_input_combinational_cell,854
design__instance__area__class:multi_input_combinational_cell,8117.79
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,1516
design__instance__area__class:fill_cell,4752.06
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,2102.83
design__instance__displacement__mean,1.482
design__instance__displacement__max,54.4
route__wirelength__estimated,23149.7
design__violations,0
design__instance__count__class:timing_repair_buffer,142
design__instance__area__class:timing_repair_buffer,1348.79
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,20
design__instance__area__class:clock_buffer,267.757
design__instance__count__setup_buffer,1
design__instance__count__hold_buffer,68
global_route__vias,3251
global_route__wirelength,41676
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,1
design__instance__count__class:antenna_cell,1
design__instance__area__class:antenna_cell,2.5024
route__net,1131
route__net__special,2
route__drc_errors__iter:0,565
route__wirelength__iter:0,26886
route__drc_errors__iter:1,283
route__wirelength__iter:1,26600
route__drc_errors__iter:2,203
route__wirelength__iter:2,26518
route__drc_errors__iter:3,36
route__wirelength__iter:3,26468
route__drc_errors__iter:4,0
route__wirelength__iter:4,26450
route__drc_errors,0
route__wirelength,26450
route__vias,8075
route__vias__singlecut,8075
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,14
design__critical_disconnected_pin__count,0
route__wirelength__max,257.73
timing__unannotated_net__count__corner:nom_tt_025C_1v80,33
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,33
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,33
