Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,34
design__inferred_latch__count,0
design__instance__count,13765
design__instance__area,72564.6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,775
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,18
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0013466530945152044
power__switching__total,0.0013280209386721253
power__leakage__total,7.385106215451742E-8
power__total,0.00267474795691669
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.43627833136583305
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.43622937052906235
timing__hold__ws__corner:nom_tt_025C_1v80,0.33813308665657327
timing__setup__ws__corner:nom_tt_025C_1v80,13.330574355024241
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.338133
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,13.330574
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,2324
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,18
design__max_cap_violation__count__corner:nom_ss_100C_1v60,38
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.5794821453373019
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.5794344057458928
timing__hold__ws__corner:nom_ss_100C_1v60,0.8764351714667346
timing__setup__ws__corner:nom_ss_100C_1v60,1.502645161942131
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.876435
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,1.502645
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,319
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,18
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.37550597027999494
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.3754558992201682
timing__hold__ws__corner:nom_ff_n40C_1v95,0.110727097291844
timing__setup__ws__corner:nom_ff_n40C_1v95,16.79805142530991
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.110727
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,17.778061
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,2657
design__max_fanout_violation__count,18
design__max_cap_violation__count,43
clock__skew__worst_hold,-0.37194925969771514
clock__skew__worst_setup,0.3719127333591719
timing__hold__ws,0.10856299499988842
timing__setup__ws,0.9301786271181529
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.108563
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,0.930179
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 334.88 225.76
design__core__bbox,2.76 2.72 332.12 223.04
design__io,45
design__die__area,75602.5
design__core__area,72564.6
design__instance__count__stdcell,5480
design__instance__area__stdcell,45172.1
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.622508
design__instance__utilization__stdcell,0.622508
design__rows,81
design__rows:unithd,81
design__sites,57996
design__sites:unithd,57996
design__instance__count__class:buffer,3
design__instance__area__class:buffer,15.0144
design__instance__count__class:inverter,99
design__instance__area__class:inverter,371.606
design__instance__count__class:sequential_cell,360
design__instance__area__class:sequential_cell,7867.55
design__instance__count__class:multi_input_combinational_cell,3254
design__instance__area__class:multi_input_combinational_cell,28891.5
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,8285
design__instance__area__class:fill_cell,27392.5
design__instance__count__class:tap_cell,1037
design__instance__area__class:tap_cell,1297.49
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
flow__warnings__count:GPL-0302,1
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,7099.02
design__instance__displacement__mean,1.269
design__instance__displacement__max,73.44
route__wirelength__estimated,179000
design__violations,0
design__instance__count__class:timing_repair_buffer,618
design__instance__area__class:timing_repair_buffer,5799.31
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,51
design__instance__area__class:clock_buffer,711.933
design__instance__count__class:clock_inverter,7
design__instance__area__class:clock_inverter,90.0864
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,193
global_route__vias,101
global_route__wirelength,309803
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,7
design__instance__count__class:antenna_cell,51
design__instance__area__class:antenna_cell,127.622
route__net,4392
route__net__special,2
route__drc_errors__iter:0,465
route__wirelength__iter:0,217691
route__drc_errors__iter:1,159
route__wirelength__iter:1,217602
route__drc_errors__iter:2,102
route__wirelength__iter:2,217587
route__drc_errors__iter:3,22
route__wirelength__iter:3,217608
route__drc_errors__iter:4,0
route__wirelength__iter:4,217629
route__drc_errors__iter:5,56
route__wirelength__iter:5,217694
route__drc_errors__iter:6,20
route__wirelength__iter:6,217706
route__drc_errors__iter:7,20
route__wirelength__iter:7,217706
route__drc_errors__iter:8,0
route__wirelength__iter:8,217729
route__drc_errors,0
route__wirelength,217629
route__vias,41698
route__vias__singlecut,41698
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,13
design__critical_disconnected_pin__count,0
route__wirelength__max,563.145
