Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,29
design__inferred_latch__count,0
design__instance__count,6609
design__instance__area,61515.2
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,53
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.001371455960907042
power__switching__total,0.0007611580076627433
power__leakage__total,6.612308567355285E-8
power__total,0.002132680034264922
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.3979687525500436
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.40178081443520897
timing__hold__ws__corner:nom_tt_025C_1v80,0.3212136203496781
timing__setup__ws__corner:nom_tt_025C_1v80,10.170502949918172
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.321214
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,10.658773
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,53
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.5006184497533585
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.5050564553975103
timing__hold__ws__corner:nom_ss_100C_1v60,0.8775593833332649
timing__setup__ws__corner:nom_ss_100C_1v60,1.6189503529343583
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.877559
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,1.618950
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,53
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.3618110080614406
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.36237233683856657
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10544376781283504
timing__setup__ws__corner:nom_ff_n40C_1v95,10.928565917106972
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.105444
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,14.282845
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,53
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.3497069122154401
clock__skew__worst_setup,0.35203749245464655
timing__hold__ws,0.10425366420792968
timing__setup__ws,1.1654517680801768
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.104254
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,1.165452
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 334.88 225.76
design__core__bbox,2.76 2.72 332.12 223.04
design__io,45
design__die__area,75602.5
design__core__area,72564.6
design__instance__count__stdcell,6609
design__instance__area__stdcell,61515.2
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.847731
design__instance__utilization__stdcell,0.847731
design__instance__count__class:buffer,8
design__instance__count__class:inverter,122
design__instance__count__class:sequential_cell,868
design__instance__count__class:multi_input_combinational_cell,3067
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,2592
design__instance__count__class:tap_cell,1037
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,166379
design__violations,0
design__instance__count__class:timing_repair_buffer,1087
design__instance__count__class:clock_buffer,61
design__instance__count__class:clock_inverter,306
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,678
antenna__violating__nets,14
antenna__violating__pins,14
route__antenna_violation__count,14
antenna_diodes_count,53
design__instance__count__class:antenna_cell,53
route__net,5487
route__net__special,2
route__drc_errors__iter:1,5665
route__wirelength__iter:1,201856
route__drc_errors__iter:2,3759
route__wirelength__iter:2,200047
route__drc_errors__iter:3,3466
route__wirelength__iter:3,199635
route__drc_errors__iter:4,1143
route__wirelength__iter:4,199226
route__drc_errors__iter:5,418
route__wirelength__iter:5,199168
route__drc_errors__iter:6,121
route__wirelength__iter:6,199144
route__drc_errors__iter:7,16
route__wirelength__iter:7,199122
route__drc_errors__iter:8,0
route__wirelength__iter:8,199122
route__drc_errors,0
route__wirelength,199122
route__vias,46225
route__vias__singlecut,46225
route__vias__multicut,0
design__disconnected_pin__count,4
design__critical_disconnected_pin__count,0
route__wirelength__max,496.94
timing__unannotated_net__count__corner:nom_tt_025C_1v80,60
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,60
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,60
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,53
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.38302603839439986
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.38791990162535545
timing__hold__ws__corner:min_tt_025C_1v80,0.3169358198925104
timing__setup__ws__corner:min_tt_025C_1v80,10.207794010102363
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
