Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,85
design__inferred_latch__count,0
design__instance__count,3418
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00035695734550245106
power__switching__total,0.0001915827306220308
power__leakage__total,1.6889764253846806E-8
power__total,0.000548556970898062
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.25982261522144673
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.25960290207865955
timing__hold__ws__corner:nom_tt_025C_1v80,0.3278376551911421
timing__setup__ws__corner:nom_tt_025C_1v80,8.540086213261192
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.327838
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,17.518698
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,72
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.2693913224299807
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2695531374403963
timing__hold__ws__corner:nom_ss_100C_1v60,0.9154340322668567
timing__setup__ws__corner:nom_ss_100C_1v60,1.2127392766608132
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.915434
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,10.118278
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2576011143974947
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2572556129824599
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11884565890017529
timing__setup__ws__corner:nom_ff_n40C_1v95,11.105308986733833
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.118846
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,18.315954
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,116
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2572455099526501
clock__skew__worst_setup,0.25627922731583924
timing__hold__ws,0.1166763940710092
timing__setup__ws,1.0676588804133227
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.116676
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,10.048325
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1003
design__instance__area__stdcell,8165.33
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.495069
design__instance__utilization__stdcell,0.495069
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:buffer,5
design__instance__area__class:buffer,25.024
design__instance__count__class:inverter,31
design__instance__area__class:inverter,116.362
design__instance__count__class:sequential_cell,71
design__instance__area__class:sequential_cell,1520.21
design__instance__count__class:multi_input_combinational_cell,577
design__instance__area__class:multi_input_combinational_cell,5207.49
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,2415
design__instance__area__class:fill_cell,8327.99
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,660.485
design__instance__displacement__mean,0.612
design__instance__displacement__max,34.6
route__wirelength__estimated,17408.6
design__violations,0
design__instance__count__class:timing_repair_buffer,81
design__instance__area__class:timing_repair_buffer,769.488
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,11
design__instance__area__class:clock_buffer,240.23
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,34
global_route__vias,37
global_route__wirelength,30746
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,2
route__net,793
route__net__special,2
route__drc_errors__iter:0,35
route__wirelength__iter:0,19330
route__drc_errors__iter:1,6
route__wirelength__iter:1,19328
route__drc_errors__iter:2,3
route__wirelength__iter:2,19331
route__drc_errors__iter:3,0
route__wirelength__iter:3,19328
route__drc_errors,0
route__wirelength,19328
route__vias,5852
route__vias__singlecut,5852
route__vias__multicut,0
design__instance__count__class:antenna_cell,2
design__instance__area__class:antenna_cell,5.0048
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,12
design__critical_disconnected_pin__count,0
route__wirelength__max,220.71
timing__unannotated_net__count__corner:nom_tt_025C_1v80,30
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,30
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,30
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
