Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,331
design__inferred_latch__count,0
design__instance__count,7061
design__instance__area,61804.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,13
design__max_cap_violation__count__corner:nom_tt_025C_1v80,1
power__internal__total,0.016937511041760445
power__switching__total,0.018270405009388924
power__leakage__total,7.698707094050405E-8
power__total,0.035207994282245636
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.7780850628480619
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.7780850628480619
timing__hold__ws__corner:nom_tt_025C_1v80,0.3290638965565211
timing__setup__ws__corner:nom_tt_025C_1v80,1.9703759181961007
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.329064
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,1.970376
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,116
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,13
design__max_cap_violation__count__corner:nom_ss_100C_1v60,1
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-1.2241000781708054
clock__skew__worst_setup__corner:nom_ss_100C_1v60,1.2241000781708054
timing__hold__ws__corner:nom_ss_100C_1v60,0.9033125614300295
timing__setup__ws__corner:nom_ss_100C_1v60,-14.105957690065468
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-1667.5076511577017
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-14.105957690065468
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.903313
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,201
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-14.105958
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,201
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,13
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,1
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.601137601156586
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.601137601156586
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11627715786006282
timing__setup__ws__corner:nom_ff_n40C_1v95,7.626101743727434
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.116277
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,9.599168
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,157
design__max_fanout_violation__count,13
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.5909261025541903
clock__skew__worst_setup,0.5909261025541903
timing__hold__ws,0.11436091286536469
timing__setup__ws,-14.550013161694329
timing__hold__tns,0.0
timing__setup__tns,-1732.0799578204058
timing__hold__wns,0
timing__setup__wns,-14.550013161694329
timing__hold_vio__count,0
timing__hold_r2r__ws,0.114361
timing__hold_r2r_vio__count,0
timing__setup_vio__count,604
timing__setup_r2r__ws,-14.550014
timing__setup_r2r_vio__count,604
design__die__bbox,0.0 0.0 334.88 225.76
design__core__bbox,2.76 2.72 332.12 223.04
design__io,45
design__die__area,75602.5
design__core__area,72564.6
design__instance__count__stdcell,7061
design__instance__area__stdcell,61804.3
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.851714
design__instance__utilization__stdcell,0.851714
design__instance__count__class:buffer,59
design__instance__count__class:inverter,202
design__instance__count__class:clock_gate_cell,83
design__instance__count__class:sequential_cell,526
design__instance__count__class:multi_input_combinational_cell,4371
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,2808
design__instance__count__class:tap_cell,1037
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,164348
design__violations,0
design__instance__count__class:timing_repair_buffer,507
design__instance__count__class:clock_buffer,243
design__instance__count__class:clock_inverter,16
design__instance__count__setup_buffer,68
design__instance__count__hold_buffer,150
design__instance__count__class:timing_repair_inverter,1
antenna__violating__nets,4
antenna__violating__pins,6
route__antenna_violation__count,4
antenna_diodes_count,16
design__instance__count__class:antenna_cell,16
route__net,6019
route__net__special,2
route__drc_errors__iter:1,5078
route__wirelength__iter:1,186028
route__drc_errors__iter:2,3425
route__wirelength__iter:2,183866
route__drc_errors__iter:3,3294
route__wirelength__iter:3,183612
route__drc_errors__iter:4,661
route__wirelength__iter:4,183074
route__drc_errors__iter:5,194
route__wirelength__iter:5,183076
route__drc_errors__iter:6,44
route__wirelength__iter:6,183013
route__drc_errors__iter:7,9
route__wirelength__iter:7,182991
route__drc_errors__iter:8,9
route__wirelength__iter:8,182991
route__drc_errors__iter:9,9
route__wirelength__iter:9,182991
route__drc_errors__iter:10,3
route__wirelength__iter:10,182996
route__drc_errors__iter:11,0
route__wirelength__iter:11,182985
route__drc_errors,0
route__wirelength,182985
route__vias,47158
route__vias__singlecut,47158
route__vias__multicut,0
design__disconnected_pin__count,11
design__critical_disconnected_pin__count,0
route__wirelength__max,764.18
timing__unannotated_net__count__corner:nom_tt_025C_1v80,74
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,74
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,74
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,13
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.7637658499606814
