Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,453
design__inferred_latch__count,0
design__instance__count,7079
design__instance__area,34255.4
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,1
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0009537321166135371
power__switching__total,0.00026600860292091966
power__leakage__total,3.724997554854781E-8
power__total,0.0012197779724374413
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2638237203374767
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.26219591129273373
timing__hold__ws__corner:nom_tt_025C_1v80,0.3222937008497314
timing__setup__ws__corner:nom_tt_025C_1v80,11.946303839850769
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.322294
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,15.601519
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,97
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,1
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.27102429401193423
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2683071341046201
timing__hold__ws__corner:nom_ss_100C_1v60,0.9073985153431161
timing__setup__ws__corner:nom_ss_100C_1v60,8.329445813287794
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.907399
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,9.860831
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,1
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2599418531776638
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.25889763288232004
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10039624971092567
timing__setup__ws__corner:nom_ff_n40C_1v95,13.315657398043498
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.100396
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,17.056173
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,119
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2589657173112307
clock__skew__worst_setup,0.2580442876858833
timing__hold__ws,0.0995512034318327
timing__setup__ws,8.174479102771016
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.099551
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,9.694360
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 225.76
design__core__bbox,2.76 2.72 158.24 223.04
design__io,45
design__die__area,36347.4
design__core__area,34255.4
design__instance__count__stdcell,1801
design__instance__area__stdcell,16021.6
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.467711
design__instance__utilization__stdcell,0.467711
design__rows,81
design__rows:unithd,81
design__sites,27378
design__sites:unithd,27378
design__instance__count__class:buffer,1
design__instance__area__class:buffer,5.0048
design__instance__count__class:inverter,17
design__instance__area__class:inverter,63.8112
design__instance__count__class:sequential_cell,197
design__instance__area__class:sequential_cell,4190.27
design__instance__count__class:multi_input_combinational_cell,814
design__instance__area__class:multi_input_combinational_cell,7507.2
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,5278
design__instance__area__class:fill_cell,18233.7
design__instance__count__class:tap_cell,456
design__instance__area__class:tap_cell,570.547
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,1205.43
design__instance__displacement__mean,0.614
design__instance__displacement__max,11.421
route__wirelength__estimated,22852.3
design__violations,0
design__instance__count__class:timing_repair_buffer,262
design__instance__area__class:timing_repair_buffer,2601.24
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,54
design__instance__area__class:clock_buffer,1083.54
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,174
global_route__vias,8707
global_route__wirelength,42524
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1359
route__net__special,2
route__drc_errors__iter:0,263
route__wirelength__iter:0,24956
route__drc_errors__iter:1,36
route__wirelength__iter:1,24815
route__drc_errors__iter:2,40
route__wirelength__iter:2,24785
route__drc_errors__iter:3,6
route__wirelength__iter:3,24786
route__drc_errors__iter:4,6
route__wirelength__iter:4,24786
route__drc_errors__iter:5,0
route__wirelength__iter:5,24793
route__drc_errors,0
route__wirelength,24793
route__vias,8707
route__vias__singlecut,8707
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,16
design__critical_disconnected_pin__count,0
route__wirelength__max,340.38
timing__unannotated_net__count__corner:nom_tt_025C_1v80,44
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,44
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,44
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
